iso,year,log_gdppc,bottom40_share
ALB,1996,7.4287904012862755,23.1
ALB,2002,7.739406452395294,21.0
ALB,2005,7.905762334472726,21.3
ALB,2008,8.115515387692694,22.0
ALB,2012,8.2353202979289,22.1
ALB,2014,8.305266334335276,18.5
ALB,2015,8.342730067120554,19.8
ALB,2016,8.396506123719536,19.2
ALB,2017,8.444241950183459,19.6
ALB,2018,8.495729230969024,20.9
ALB,2019,8.53157654989607,21.5
ALB,2020,8.513309056972297,21.6
ARG,1980,9.237546768935978,15.5
ARG,1986,9.146171773229526,15.0
ARG,1987,9.157409818683082,13.9
ARG,1991,9.074500394927384,13.899999999999999
ARG,1992,9.137036821690298,13.799999999999999
ARG,1993,9.202376099770508,13.8
ARG,1994,9.24569716059452,13.4
ARG,1995,9.203729343343023,12.2
ARG,1996,9.244948540627123,11.7
ARG,1997,9.310790784763434,11.799999999999999
ARG,1998,9.336814614986345,11.2
ARG,1999,9.290843275402365,11.5
ARG,2000,9.271590714591147,10.8
ARG,2001,9.215521411810418,9.7
ARG,2002,9.089478325218936,9.7
ARG,2003,9.163828464434127,10.899999999999999
ARG,2004,9.240136673356535,11.7
ARG,2005,9.314677947324345,12.0
ARG,2006,9.381793005097167,12.6
ARG,2007,9.45812987103844,12.7
ARG,2008,9.487771863276931,13.3
ARG,2009,9.416165091577739,13.7
ARG,2010,9.502050972116228,13.9
ARG,2011,9.54970975869115,14.399999999999999
ARG,2012,9.529115900298596,14.9
ARG,2013,9.54295482571449,15.0
ARG,2014,9.507190185666095,14.7
ARG,2016,9.492951061469718,14.6
ARG,2017,9.511933706412325,15.0
ARG,2018,9.477181411867754,14.8
ARG,2019,9.449860910237419,14.1
ARG,2020,9.340758851642148,14.100000000000001
ARG,2021,9.437418665623444,14.8
ARG,2022,9.493775178375971,15.5
ARG,2023,9.472173178879085,14.7
ARG,2024,9.455194584790855,14.799999999999999
ARM,1996,6.903474404419655,14.9
ARM,1999,7.073653897855953,19.2
ARM,2001,7.208689695141339,19.6
ARM,2002,7.3364188946968705,20.0
ARM,2003,7.472868413519926,21.1
ARM,2004,7.57825934040802,19.1
ARM,2005,7.714272542250184,19.9
ARM,2006,7.844411406664453,22.0
ARM,2007,7.97912431526816,21.200000000000003
ARM,2008,8.052402172085555,22.2
ARM,2009,7.9072741735352015,22.9
ARM,2010,7.935974228208692,22.1
ARM,2011,7.9874690677133895,22.2
ARM,2012,8.058250913748191,22.2
ARM,2013,8.09141276658874,21.5
ARM,2014,8.129497033280357,21.2
ARM,2015,8.164052993685441,20.799999999999997
ARM,2016,8.170153121527093,20.0
ARM,2017,8.246794167624104,20.8
ARM,2018,8.30098402411806,20.299999999999997
ARM,2019,8.376426175164447,22.1
ARM,2020,8.302040238703432,24.5
ARM,2021,8.35815047524684,23.200000000000003
ARM,2022,8.474495442334888,22.799999999999997
ARM,2023,8.555882049724369,23.5
ARM,2024,8.59013096483468,23.5
AUS,1981,10.352432346246104,20.6
AUS,1985,10.402421434365568,20.1
AUS,1989,10.497702855820949,19.7
AUS,1995,10.581713075659758,20.1
AUS,2001,10.743213033182606,19.5
AUS,2003,10.789518298688597,19.5
AUS,2004,10.820150024274179,19.9
AUS,2008,10.887386003649693,18.8
AUS,2010,10.89244027811907,19.1
AUS,2014,10.94326601733858,19.6
AUS,2016,10.96185059222698,19.6
AUS,2018,10.981432847810053,19.5
AUS,2020,10.974690395163083,19.6
AUT,1994,10.39758428367529,21.1
AUT,1995,10.42238335938929,21.5
AUT,1996,10.442948918143925,21.9
AUT,1997,10.463047113673522,21.9
AUT,1998,10.49628246235925,21.1
AUT,1999,10.531265730857301,21.7
AUT,2000,10.560258204241288,22.1
AUT,2003,10.585808554858044,21.9
AUT,2004,10.604933471077446,21.7
AUT,2005,10.621059338504935,22.200000000000003
AUT,2006,10.648281662827076,21.9
AUT,2007,10.682097270561812,21.2
AUT,2008,10.69339531968793,21.3
AUT,2009,10.654254275368153,20.7
AUT,2010,10.669778482664274,21.2
AUT,2011,10.695262034267998,20.9
AUT,2012,10.696965469540093,21.1
