year,rate,hpi
1987,10.213396226415098,66.25666666666666
1988,10.341730769230766,71.14041666666667
1989,10.319423076923076,75.50616666666667
1990,10.129423076923077,76.939
1991,9.24653846153846,75.92258333333332
1992,8.39018867924528,76.33016666666667
1993,7.314615384615383,77.41516666666668
1994,8.380769230769234,79.46883333333334
1995,7.934615384615385,80.991
1996,7.806153846153844,82.808
1997,7.598846153846153,85.31675
1998,6.94264150943396,90.09891666666665
1999,7.439999999999999,96.37233333333334
2000,8.053461538461539,104.77749999999999
2001,6.967884615384614,113.18566666666668
2002,6.537307692307692,122.2885
2003,5.826981132075471,133.74141666666668
2004,5.83923076923077,150.46416666666667
2005,5.866730769230769,171.78083333333333
2006,6.413269230769231,183.48083333333332
2007,6.33730769230769,179.94125
2008,6.027169811320754,164.05791666666667
2009,5.03653846153846,148.55133333333333
2010,4.689807692307693,144.661
2011,4.4478846153846145,139.23375000000001
2012,3.657500000000001,140.97733333333335
2013,3.9755769230769222,154.51149999999998
2014,4.168867924528302,164.66575
2015,3.8505769230769222,172.14616666666666
2016,3.6540384615384616,180.8895
2017,3.9898076923076924,191.35458333333335
2018,4.544615384615385,202.4260833333333
2019,3.935769230769231,209.39908333333332
2020,3.111698113207547,222.05991666666668
2021,2.957692307692308,259.95983333333334
2022,5.344038461538462,298.31566666666663
2023,6.80673076923077,305.7330833333333
2024,6.721153846153848,321.3523333333333
2025,6.595094339622643,328.51591666666667
