year,pm25,death_rate
1990,36.6699998856934,9.30360763774567
1991,36.2798035199179,9.269381150261
1992,36.2914302237185,9.17137131326227
1993,36.3043412567357,9.15559784842428
1994,36.3173083185837,9.1948255798405
1995,35.5084527536348,8.99425886094727
1996,36.3488047792664,8.89072234091914
1997,36.3665528159553,8.77085870899186
1998,36.3852463698882,8.71200326501635
1999,36.405140804815,8.62944990013822
2000,36.8491570986793,8.51155625493986
2001,36.2164806803054,8.42822044229306
2002,36.8134531740209,8.36112377457594
2003,36.7067475999852,8.28914591000193
2004,36.3929778010921,8.19365280168498
2005,36.3849813204153,8.13871868031213
2006,35.94683567931,8.06363735436202
2007,35.9950092951623,8.00540469125587
2008,36.2763464143578,7.98417519737266
2009,36.0921707316866,7.90098593890559
2010,36.0303364033654,7.81971464630986
2011,37.363176329958,7.76162151146208
2012,35.9985453397192,7.6891465005044
2013,36.0046403153543,7.62677448242537
2014,35.895126518285,7.58282331702091
2015,36.5358920922992,7.58281572695444
2016,35.4771921929567,7.53742665553239
2017,35.0144939662472,7.52649450759098
2018,34.7426191759393,7.4939220648592
2019,33.3845083191199,7.46946655243651
2020,32.5018430407481,8.0128021370251
2021,33.1988270178342,8.71376672373529
2022,32.732143387781,7.70966159942046
2023,32.872382373302,7.58905193782761
