iso,year,log_gdppc,gini
AUS,2016,10.96185059222698,33.7
AUS,2018,10.981432847810053,34.3
AUS,2020,10.974690395163083,33.8
AUT,1994,10.39758428367529,30.8
AUT,1995,10.42238335938929,29.9
AUT,1996,10.442948918143925,29.3
AUT,1997,10.463047113673522,29.1
AUT,1998,10.49628246235925,31.3
AUT,1999,10.531265730857301,29.7
AUT,2000,10.560258204241288,29.0
AUT,2003,10.585808554858044,29.5
AUT,2004,10.604933471077446,29.8
AUT,2005,10.621059338504935,28.7
AUT,2006,10.648281662827076,29.6
AUT,2007,10.682097270561812,30.6
AUT,2008,10.69339531968793,30.4
AUT,2009,10.654254275368153,31.5
AUT,2010,10.669778482664274,30.3
AUT,2011,10.695262034267998,30.8
AUT,2012,10.696965469540093,30.5
AUT,2013,10.688561184309245,30.8
AUT,2014,10.688275337993321,30.5
AUT,2015,10.690016418660566,30.5
AUT,2016,10.700153635335925,30.8
AUT,2017,10.715675612695888,29.7
AUT,2018,10.735343554098822,30.8
AUT,2019,10.748294360955562,30.2
AUT,2020,10.678875753026356,29.8
AUT,2021,10.72257647213907,30.7
AUT,2022,10.764950837219436,30.9
AUT,2023,10.747162675814796,31.2
AZE,1995,7.021359531605765,34.6
AZE,2001,7.40302248303462,36.5
AZE,2002,7.485757112532376,25.3
AZE,2003,7.5753826230351535,26.8
AZE,2004,7.655131796672319,26.6
AZE,2005,7.891468689996056,26.6
BEL,1985,10.154843678737068,25.2
BEL,1988,10.23747405573907,25.7
BEL,1992,10.32143689180028,24.9
BEL,1995,10.358016522704943,28.4
BEL,1997,10.404005262175595,26.8
BEL,2000,10.487888362969542,33.1
BEL,2003,10.513966726265327,28.1
BEL,2004,10.544728021573649,30.5
BEL,2005,10.562179420864767,29.3
BEL,2006,10.580786963637339,28.1
BEL,2007,10.609553039325432,29.2
BEL,2008,10.60611236562133,28.4
BEL,2009,10.578817890268201,28.6
BEL,2010,10.59642382637253,28.4
BEL,2011,10.602541246025885,28.1
BEL,2012,10.598495321138124,27.5
BEL,2013,10.596832208325084,27.7
BEL,2014,10.609894273134854,28.1
BEL,2015,10.618733852262814,27.7
BEL,2016,10.625535218770558,27.6
BEL,2017,10.636319968850893,27.4
BEL,2018,10.650373645440041,27.2
BEL,2019,10.6691043191879,27.2
BEL,2020,10.615677802572218,26.0
BEL,2021,10.672228350505144,26.6
BEL,2022,10.703604002633188,26.4
BEL,2023,10.710593297044216,26.8
BFA,1994,5.841720099103872,48.0
BFA,1998,6.028937371743357,49.9
BFA,2003,6.149030205944249,43.3
BFA,2009,6.279402995752449,39.8
BFA,2014,6.437074436779726,35.3
BFA,2018,6.543181813870662,43.0
BFA,2021,6.614018330623652,37.4
BGD,1983,6.053609356779162,25.9
BGD,1985,6.083091768659131,26.9
BGD,1988,6.1177430315509165,28.8
BGD,1991,6.175187952053689,27.6
BGD,1995,6.287732058934044,32.9
BGD,2000,6.430623058110431,33.4
BGD,2005,6.6055735505548245,33.2
BGD,2010,6.849770412875309,32.1
BGD,2016,7.169989468534807,32.4
BGD,2022,7.49795533274916,30.9
BGR,1989,8.472702299961385,23.4
BGR,1992,8.252043162981769,30.7
BGR,1994,8.26651972726252,24.3
BGR,1995,8.299583670751101,32.8
BGR,1997,8.209408754398677,26.4
BGR,2001,8.278403589312173,32.7
BGR,2003,8.416137912020812,28.9
BGR,2006,8.635880542048357,35.7
BGR,2007,8.70765673993136,36.1
BGR,2008,8.77416638254398,33.6
BGR,2009,8.74656477478822,33.8
BGR,2010,8.768581438001785,35.7
BGR,2011,8.795680042204475,34.3
BGR,2012,8.808932496747483,36.0
BGR,2013,8.82366009926138,36.6
