iso,year,pm25,death_rate
AFE,1990,23.7930241897388,15.3892030966219
AFE,1991,23.3926925796443,15.6784620755611
AFE,1992,23.5362700345114,15.7625984982371
AFE,1993,23.6748952895145,15.2479517463529
AFE,1994,23.7722523581486,17.2452819188522
AFE,1995,22.797437567601,14.6754749406442
AFE,1996,24.0436463613175,14.6532589191461
AFE,1997,24.19343112132,14.4243735108166
AFE,1998,24.3378542514077,14.6777373826067
AFE,1999,24.4859750387551,14.0363588346108
AFE,2000,25.1847899191578,13.5499033167574
AFE,2001,27.0609414472903,13.3076486997769
AFE,2002,25.6426070980781,13.0399204332418
AFE,2003,24.7010027397608,12.7214592060934
AFE,2004,25.2160178449824,12.3834238964521
AFE,2005,25.1157468430751,12.0210911514631
AFE,2006,25.6522293544698,11.5375569750487
AFE,2007,26.2688687372766,11.0865972853099
AFE,2008,26.6851120315685,10.6623751173159
AFE,2009,25.8669036343566,10.1984006728924
AFE,2010,28.1790547771667,9.80778558922546
AFE,2011,27.443605227518,9.78032115864408
AFE,2012,27.3284774215309,9.06568314572228
AFE,2013,27.7109978237833,8.72936607027465
AFE,2014,24.5678372434201,8.60162251286315
AFE,2015,26.7348171094673,8.41492537639502
AFE,2016,25.6711863960849,8.24213180696689
AFE,2017,24.7867890625585,8.07878715791181
AFE,2018,24.8752419174662,7.67376094327817
AFE,2019,26.2820242554509,7.46246664270849
AFE,2020,25.6601287864982,7.5402043520901
AFE,2021,25.5294580355908,7.91382338403694
AFE,2022,26.3839158119753,7.24533546650364
AFE,2023,25.2834028964264,6.97878741988465
AFG,1990,48.426586090137,19.479
AFG,1991,47.9416090747119,18.783
AFG,1992,47.9744036468965,17.17
AFG,1993,48.0071982190811,14.613
AFG,1994,48.0399927912656,14.929
AFG,1995,47.037244188231,14.403
AFG,1996,48.1055819356348,13.928
AFG,1997,48.1383765078194,13.651
AFG,1998,48.1711710800039,13.886
AFG,1999,48.2039656521885,12.697
AFG,2000,48.7545318119826,12.608
AFG,2001,47.3439128482616,11.954
AFG,2002,49.6187837868913,11.187
AFG,2003,48.6476680050411,10.714
AFG,2004,47.3920074249934,10.375
AFG,2005,48.0980843024941,9.913
AFG,2006,40.5380153002123,9.659
AFG,2007,37.7270370787103,9.487
AFG,2008,36.8522632095061,8.884
AFG,2009,34.5914422724701,8.645
AFG,2010,39.0882300545031,8.402
AFG,2011,41.9026051489319,8.032
AFG,2012,34.3492255147613,7.822
AFG,2013,36.6128102921332,7.597
AFG,2014,35.9811583111996,7.511
AFG,2015,36.4857340459184,7.528
AFG,2016,36.8725270986265,7.32
AFG,2017,37.0667978834846,7.315
AFG,2018,40.8384893577725,7.271
AFG,2019,34.7952135471867,7.064
AFG,2020,34.1641257733592,7.565
AFG,2021,39.7388328758413,8.002
AFG,2022,40.2067792804569,5.993
AFG,2023,37.9483109911724,5.797
AFW,1990,51.0953579193731,17.3573006923347
AFW,1991,49.9884796091232,17.214892308521
AFW,1992,50.224302499795,17.0423845093243
AFW,1993,50.4655674015363,16.8759232057841
AFW,1994,50.7165827421139,16.7923117556345
AFW,1995,48.1935598241837,16.6028070734031
AFW,1996,51.1965267091418,16.4876342050441
AFW,1997,51.4204085030416,16.3332983143795
AFW,1998,51.6375115360561,16.1130092208097
AFW,1999,51.8756974593489,15.8282420188512
AFW,2000,53.5059146457835,15.4854734713085
AFW,2001,45.6772698919313,15.1985518894703
AFW,2002,49.1135543209665,14.8769985816561
AFW,2003,42.0703958229305,14.5327841947034
AFW,2004,51.9268157412611,14.1643186751393
AFW,2005,46.6971815384279,13.8548777428141
AFW,2006,50.2876571116905,13.5629084554922
AFW,2007,53.168573409412,13.2212239850854
AFW,2008,53.2262598376202,12.9292165529337
AFW,2009,48.2365063599203,13.425672170818
AFW,2010,46.6256099587659,12.484898821444
AFW,2011,49.1720245628001,12.2548767515611
AFW,2012,48.6075747829437,12.0376030927752
AFW,2013,42.6158838699748,11.8498354386347
AFW,2014,43.7976736431449,11.7526106920211
AFW,2015,58.8555737795586,11.4864765263751
AFW,2016,54.3310077015544,11.2279359403066
AFW,2017,53.0584900303613,11.047781094398
AFW,2018,47.2640838642737,10.7612745998113
AFW,2019,44.5827940555269,10.7191791238898
AFW,2020,49.7113359166019,10.4720367314194
AFW,2021,49.3359719043818,10.4205510296271
AFW,2022,53.6223979405527,10.3602634932947
AFW,2023,50.4240139947409,9.66114313162509
AGO,1990,23.6769644253321,22.055
AGO,1991,23.367735013089,20.535
AGO,1992,23.3447558436431,21.67
AGO,1993,23.3217766741972,21.448
AGO,1994,23.2987975047513,20.334
AGO,1995,22.7033178497108,18.7
AGO,1996,23.2528391658595,18.445
AGO,1997,23.2298599964136,18.184
AGO,1998,23.2068808269677,18.925
AGO,1999,23.1839016575218,18.518
AGO,2000,23.4471727308732,18.08
AGO,2001,24.3136425768266,17.606
AGO,2002,24.0566632119627,17.071
AGO,2003,23.4318011631518,15.559
AGO,2004,23.3720548464755,14.958
AGO,2005,24.275362134715,14.31
AGO,2006,20.9105363923632,13.757
AGO,2007,20.3046984474029,12.98
AGO,2008,21.3846279674151,12.302
AGO,2009,20.2177945705101,11.702
AGO,2010,24.5855697926641,11.078
AGO,2011,21.5236235344248,10.546
AGO,2012,21.343442353859,10.043
AGO,2013,22.6429419636481,9.578
AGO,2014,19.3563913804903,9.179
AGO,2015,21.2324508850665,8.809
AGO,2016,20.9967960289148,8.476
AGO,2017,18.2261589534262,8.192
AGO,2018,19.9275654157599,7.928
AGO,2019,22.1743439472758,7.701
AGO,2020,19.5706484135285,7.628
AGO,2021,18.4908414693325,7.619
AGO,2022,22.5172239045117,7.097
AGO,2023,19.9075690536367,6.925
ALB,1990,23.4946107770197,5.586
ALB,1991,23.0678563715578,5.525
ALB,1992,22.91179107283,5.472
ALB,1993,22.7557257741022,5.416
ALB,1994,22.5996604753744,5.429
ALB,1995,21.9022169631779,5.45
ALB,1996,22.2875298779189,5.496
ALB,1997,22.1314645791911,5.84
ALB,1998,21.9753992804634,5.582
ALB,1999,21.8193339817356,5.605
ALB,2000,21.9339577897421,5.619
ALB,2001,20.7951911445688,5.625
ALB,2002,23.3012204378614,5.69
ALB,2003,25.4207582977575,5.777
ALB,2004,22.4351342494154,5.784
ALB,2005,22.259060754129,5.763
ALB,2006,21.6940202849085,5.715
ALB,2007,21.1074303588099,5.609
ALB,2008,20.3843605591518,5.584
ALB,2009,19.4622092719986,5.721
ALB,2010,18.3920007444687,6.055
ALB,2011,21.9489443809331,6.36
ALB,2012,19.0674970188242,6.728
ALB,2013,18.1851957150545,7.019
ALB,2014,16.6949201821752,7.236
ALB,2015,18.6786335737453,7.245
ALB,2016,16.5118382060405,7.288
ALB,2017,17.2674048084392,7.373
ALB,2018,17.9552347660824,7.375
ALB,2019,17.2950261740093,7.473
ALB,2020,15.7141751458801,9.08
ALB,2021,15.8337516349214,10.262
ALB,2022,16.4538233724819,8.709
ALB,2023,15.5141032036885,8.332
AND,1990,15.6783655856541,5.256
AND,1991,15.4609468224039,5.154
AND,1992,15.4424556377828,5.046
AND,1993,15.4239644531617,5.242
AND,1994,15.4054732685405,5.48
AND,1995,14.9891269266612,5.334
AND,1996,15.3684908992983,5.467
AND,1997,15.3499997146772,5.707
AND,1998,15.3315085300561,5.91
AND,1999,15.313017345435,6.059
AND,2000,15.4934537394429,6.228
AND,2001,14.6642939715343,6.293
AND,2002,14.6880299711952,6.486
AND,2003,14.9775602631261,6.368
AND,2004,13.7061703844032,6.287
AND,2005,13.9465958618342,6.076
AND,2006,12.9297272785491,5.836
AND,2007,11.8225101387285,5.865
AND,2008,11.4625201603076,5.875
AND,2009,11.7901943038941,5.979
AND,2010,11.338774688531,6.266
AND,2011,11.2856546088828,5.952
AND,2012,11.2727964795959,5.996
AND,2013,9.28299673928957,5.926
AND,2014,8.8843864780387,5.812
AND,2015,10.5752672419823,5.673
AND,2016,8.29214112193156,5.412
AND,2017,9.76834551376592,5.436
AND,2018,9.37766491513792,5.48
AND,2019,9.16802805222713,5.56
AND,2020,8.50701783669627,8.285
AND,2021,9.25302038744399,6.983
AND,2022,11.4677282320292,5.948
AND,2023,8.88302187970813,6.076
ARB,1990,34.4256593089487,8.42465138546443
ARB,1991,34.5121357123502,8.79272747920822
ARB,1992,34.8459899229131,8.33895611792282
ARB,1993,35.1326470303475,7.40011188688669
ARB,1994,35.4026543868328,7.28813705662795
ARB,1995,35.3038335905281,7.11330038640527
ARB,1996,35.9414532788319,6.97632479140949
ARB,1997,36.2232911067294,6.8452518220731
ARB,1998,36.5170994348814,6.71321550607525
ARB,1999,36.8178102426111,6.58509338916442
ARB,2000,37.3329700973711,6.46117283219359
ARB,2001,36.3422330395647,6.33999207742352
ARB,2002,36.8698228310029,6.23623810860253
ARB,2003,40.8643057962778,6.25136743006813
ARB,2004,39.9772695662504,6.2671226451883
ARB,2005,38.4220144046919,6.18231788831916
ARB,2006,36.8974241345293,6.02956905700487
ARB,2007,36.5251692193203,5.90976809563247
ARB,2008,37.3785244571265,5.7919046841356
ARB,2009,38.4387808924378,5.64947352731116
ARB,2010,39.9121244542125,5.68661995464932
ARB,2011,38.4343142707446,6.19255854640541
ARB,2012,39.6298967233427,5.72895771797623
ARB,2013,39.9909334214104,5.59650495446039
ARB,2014,36.513790687249,5.49346165918509
ARB,2015,40.6777726436523,5.48082717395682
ARB,2016,39.1893004358148,5.4088022918749
ARB,2017,39.6105803143106,5.39805245312802
ARB,2018,39.4640693474745,5.28924539210564
ARB,2019,38.4029794136485,5.15505260686536
ARB,2020,36.2711335822781,5.72358247086361
ARB,2021,37.8556017697281,5.90470479510732
ARB,2022,41.2831313529363,5.19978525681961
ARB,2023,38.9233143832018,5.04104897342606
ARE,1990,56.2386358010963,2.786
ARE,1991,56.3746439959508,2.76
ARE,1992,56.3639232683568,2.77
ARE,1993,56.3532025407628,2.801
ARE,1994,56.3424818131688,2.85
ARE,1995,56.6252189304716,2.85
ARE,1996,56.3210403579807,2.754
ARE,1997,56.3103196303867,2.644
ARE,1998,56.2995989027927,2.459
ARE,1999,56.2888781751987,2.233
ARE,2000,56.1314285251562,2.004
ARE,2001,56.390498735709,1.801
ARE,2002,48.9007592225192,1.646
ARE,2003,60.7690769621445,1.546
ARE,2004,61.1629888436701,1.49
ARE,2005,56.3211849082399,1.471
ARE,2006,53.0567535809252,1.444
ARE,2007,54.6263917893835,1.34
ARE,2008,56.2632916050896,1.205
ARE,2009,55.8795640874537,1.165
ARE,2010,55.5370145912635,1.073
ARE,2011,57.1500411170482,1.027
ARE,2012,64.1373972820381,1.033
ARE,2013,55.8898306923373,1.033
ARE,2014,50.625296563254,1.014
ARE,2015,58.4002194876441,1.021
ARE,2016,53.8883697624575,1.007
ARE,2017,55.7483527139541,0.97
ARE,2018,58.2253146383654,0.957
ARE,2019,55.0277222030034,0.958
ARE,2020,47.9198581382905,1.118
ARE,2021,56.3065448613774,1.258
ARE,2022,67.6947186324117,1.18
ARE,2023,57.1867315267375,0.932
ARG,1990,20.22963857398,7.832
ARG,1991,20.0256364176433,7.621
ARG,1992,19.7953991274729,7.681
ARG,1993,19.5651618373026,7.694
ARG,1994,19.3349245471322,7.49
ARG,1995,19.1571575246282,7.562
ARG,1996,18.8744499667915,7.52
ARG,1997,18.6442126766212,7.413
ARG,1998,18.4139753864508,7.605
ARG,1999,18.1837380962805,7.576
ARG,2000,17.9272656722768,7.57
ARG,2001,17.9178130849004,7.496
ARG,2002,17.9424613527905,7.531
ARG,2003,18.4432572840448,7.736
ARG,2004,17.3793108071762,7.527
ARG,2005,16.5905504324948,7.386
ARG,2006,16.1544260860828,7.445
ARG,2007,15.8670107757052,7.899
ARG,2008,15.8984989433497,7.517
ARG,2009,15.346371309888,7.479
ARG,2010,14.5390685061033,7.625
ARG,2011,15.7163051408834,7.419
ARG,2012,14.0989689010505,7.719
ARG,2013,14.5961380999521,7.78
ARG,2014,13.534008457628,7.549
ARG,2015,13.8006524258903,7.449
ARG,2016,14.1434158723716,7.865
ARG,2017,13.2987334804339,7.682
ARG,2018,13.5371363799976,7.583
ARG,2019,14.7246348007331,7.676
ARG,2020,16.0292286761716,8.45
ARG,2021,13.9190749120157,9.725
ARG,2022,15.8656062718096,8.797
ARG,2023,14.3465949932455,7.668
ARM,1990,30.1305661170696,7.724
ARM,1991,29.798292630746,7.711
ARM,1992,29.7410727213204,7.9
ARM,1993,29.6838528118948,7.932
ARM,1994,29.6266329024692,7.983
ARM,1995,29.0193058392473,8.013
ARM,1996,29.512193083618,8.057
ARM,1997,29.4549731741924,8.084
ARM,1998,29.3977532647668,8.13
ARM,1999,29.3405333553412,8.139
ARM,2000,29.5583670228137,7.5
ARM,2001,31.4125055642383,7.5
ARM,2002,30.0036787737701,8.0
ARM,2003,30.1806671919397,8.2
ARM,2004,28.8594792280716,8.1
ARM,2005,30.0731073574406,8.4
ARM,2006,27.6732118169161,8.7
ARM,2007,28.6749315507276,8.6
ARM,2008,28.3731447517631,8.9
ARM,2009,26.6070670400814,9.0
ARM,2010,31.9621141886677,9.2
ARM,2011,26.4617308757386,9.2
ARM,2012,26.175282946909,9.1
ARM,2013,27.0068139463312,9.0
ARM,2014,28.478768503414,9.2
ARM,2015,28.2872611000725,9.3
ARM,2016,25.352291625061,9.4
ARM,2017,27.1407235472997,9.1
ARM,2018,27.6903289992915,8.7
ARM,2019,29.3192994071172,8.8
ARM,2020,27.1586984360582,12.2
