iso,year,log_gdppc,life_exp
ABW,1986,9.689715641924906,71.831
ABW,1987,9.851776717194758,72.448
ABW,1988,10.019869924175412,72.519
ABW,1989,10.115788391438693,72.531
ABW,1990,10.117132284971806,72.546
ABW,1991,10.1448781307408,72.592
ABW,1992,10.15593533003976,72.717
ABW,1993,10.160845204658065,72.777
ABW,1994,10.187988699287482,72.796
ABW,1995,10.185057977537886,72.832
ABW,1996,10.157338680104088,72.856
ABW,1997,10.186687719023217,72.904
ABW,1998,10.18180421854218,72.94
ABW,1999,10.180543767247153,72.857
ABW,2000,10.243699054962644,72.939
ABW,2001,10.27531792495204,73.044
ABW,2002,10.258902941749522,73.135
ABW,2003,10.258564490065902,73.236
ABW,2004,10.307610921546775,73.223
ABW,2005,10.277864619739226,73.415
ABW,2006,10.27110927669914,73.498
ABW,2007,10.294070416319773,73.642
ABW,2008,10.304632167664872,73.783
ABW,2009,10.173669629508701,73.974
ABW,2010,10.143654110695536,74.297
ABW,2011,10.169424435607478,74.578
ABW,2012,10.14426407186926,74.841
ABW,2013,10.191674789394664,75.072
ABW,2014,10.195179932080267,75.261
ABW,2015,10.220420861261761,75.405
ABW,2016,10.225108981345736,75.54
ABW,2017,10.25937335029299,75.62
ABW,2018,10.289403094518178,75.88
ABW,2019,10.298914562663938,76.019
ABW,2020,10.030922940419066,75.406
ABW,2021,10.177439790203405,73.655
ABW,2022,10.281889410894292,76.226
ABW,2023,10.372336654651042,76.353
ABW,2024,10.432318724433648,76.5
AFE,1960,7.078570596659313,44.169658253166
AFE,1961,7.056501669525926,44.4688383362574
AFE,1962,7.106009948425405,44.8778899276436
AFE,1963,7.13358796360798,45.160582805883
AFE,1964,7.1513440071336465,45.5356954673738
AFE,1965,7.173350229260043,45.7707229233552
AFE,1966,7.192393593366535,45.7657253575752
AFE,1967,7.2159571495761865,46.4407454164319
AFE,1968,7.227776209304793,46.7386317469603
AFE,1969,7.248826988044723,46.977475702472
AFE,1970,7.2310039016357885,47.2480056807395
AFE,1971,7.25550994979428,47.4640156591505
AFE,1972,7.2543464064577,47.1667922827106
AFE,1973,7.270315284465299,47.7466079240168
AFE,1974,7.293845848439974,47.7443277639797
AFE,1975,7.278280495894859,47.9685480547674
AFE,1976,7.272322729003298,48.568138198282
AFE,1977,7.255066362192999,48.8607248856663
AFE,1978,7.239867109757947,48.9839167133521
AFE,1979,7.237431046285555,49.4169883847351
AFE,1980,7.260532050462248,49.816713138052
AFE,1981,7.268133806698219,50.0204932967522
AFE,1982,7.239060390459484,50.2908293797205
AFE,1983,7.20836677891447,48.9040956565702
AFE,1984,7.211519383392338,48.9979586702536
AFE,1985,7.180546412813541,49.3929024640878
AFE,1986,7.173125894824218,50.0097614989116
AFE,1987,7.18178849986747,51.0689429320971
AFE,1988,7.194711310349158,50.8766070614947
AFE,1989,7.192765765452541,51.2658735140762
AFE,1990,7.165312023025982,51.0963264543047
AFE,1991,7.136743685778751,50.8732436063946
AFE,1992,7.085887187613857,50.7159460478921
AFE,1993,7.049766898282214,51.0737619133776
AFE,1994,7.042210962289488,50.9665887956464
AFE,1995,7.058866566603038,51.4820566813357
AFE,1996,7.085944799692773,51.3531898360738
AFE,1997,7.098147187206533,51.5708865171429
AFE,1998,7.089830623970044,51.3179554721368
AFE,1999,7.08960196572944,51.8070772449868
AFE,2000,7.094962103709805,52.5573418626777
AFE,2001,7.103509447175725,52.8755360536287
AFE,2002,7.11585228153977,53.2067443343026
AFE,2003,7.119310384694277,53.6783047685822
AFE,2004,7.147713232231565,54.1929278660434
AFE,2005,7.181034971430031,54.8076807136336
AFE,2006,7.218601987016151,55.6935152578453
AFE,2007,7.256560658669608,56.4843531784534
AFE,2008,7.272760441678649,57.2401063228798
AFE,2009,7.25453527144903,58.0955271436463
AFE,2010,7.279167600890849,58.8272792062821
AFE,2011,7.28953277913196,59.2000040300701
AFE,2012,7.281224388321311,60.2495123598467
AFE,2013,7.299040293924229,60.895739752772
AFE,2014,7.310415422606254,61.251436015671
AFE,2015,7.312364000988607,61.713030523495
AFE,2016,7.3086227446158825,62.1679813169199
AFE,2017,7.308638165214992,62.5912750961501
AFE,2018,7.307997908353046,63.3306913582336
AFE,2019,7.299952086136764,63.8572612837043
AFE,2020,7.243211235085429,63.7664840026943
AFE,2021,7.260280448688831,62.9799991857494
AFE,2022,7.270376484439112,64.4871517904367
AFE,2023,7.264412589671137,65.1462279163724
AFE,2024,7.2671823368564805,65.3499304660954
AFG,2000,5.731132592775109,55.005
AFG,2001,5.624443593897058,55.511
AFG,2002,5.823459932962957,56.225
AFG,2003,5.8466457683621,57.171
AFG,2004,5.824929546003668,57.81
AFG,2005,5.896164756200818,58.247
AFG,2006,5.907425960704261,58.553
AFG,2007,6.018003573244542,58.956
AFG,2008,6.034637254889591,59.708
AFG,2009,6.192016115571962,60.248
AFG,2010,6.296871778787796,60.702
AFG,2011,6.264211232548303,61.25
AFG,2012,6.343755683741355,61.735
AFG,2013,6.364068653933694,62.188
AFG,2014,6.354624348994881,62.26
AFG,2015,6.337833595485375,62.27
AFG,2016,6.334827872548525,62.646
AFG,2017,6.3328702621956765,62.406
AFG,2018,6.315584290000878,62.443
AFG,2019,6.32411078321368,62.941
AFG,2020,6.2687828908525365,61.454
AFG,2021,6.012799957957212,60.417
AFG,2022,5.934009219701311,65.617
AFG,2023,5.935069585324131,66.035
AFG,2024,5.92526249963338,66.289
AFW,1960,7.030360790401842,37.779636388716
AFW,1961,7.027845783481606,38.0589725788266
AFW,1962,7.043113335161933,38.6817923842751
AFW,1963,7.089428517224362,38.9369177714205
AFW,1964,7.1198737978742015,39.1943751173598
AFW,1965,7.138076420613975,39.4788754300249
AFW,1966,7.10057605979573,39.7170348722908
AFW,1967,6.98431510739262,39.5249102811788
AFW,1968,6.977279099055378,40.2526118952956
AFW,1969,7.093698595776151,40.5619154193279
AFW,1970,7.2292053807114085,41.273638939799
AFW,1971,7.304046936759218,41.7257812498565
AFW,1972,7.310721548854384,42.3519189065269
