iso,year,cons_prod_ratio,openness
ALB,1990,1.0094185835899294,39.4369634031142
ALB,1991,1.0759906759906759,36.0705200632829
ALB,1992,1.1620977353992847,108.785472241159
ALB,1993,1.1441402908468776,80.518332770413
ALB,1994,1.2292099792099793,53.1025847356112
ALB,1995,1.2077549066539015,40.1386989518314
ALB,1996,1.4345887016848367,44.4117820054663
ALB,1997,1.420609202851588,44.7293780649181
ALB,1998,1.3863247863247863,47.1306266993222
ALB,1999,1.2417950435365037,49.8954184095195
ALB,2000,1.309090909090909,61.6092610436407
ALB,2001,1.3775225085377212,64.2474462587009
ALB,2002,1.3132337246531482,65.9914650336802
ALB,2003,1.3813618405763421,64.8232150960777
ALB,2004,1.3236772803447452,65.0379383187697
ALB,2005,1.373621215677071,69.1162926602322
ALB,2006,1.4916901048325235,72.2019089483674
ALB,2007,1.512987012987013,79.9119008919954
ALB,2008,1.4898830935251797,75.2485472798728
ALB,2009,1.54279176201373,73.3213575646169
ALB,2010,1.3659954328420179,75.5325329687378
ALB,2011,1.3495652173913044,80.6989985298954
ALB,2012,1.3328600405679514,76.9683583166821
ALB,2013,1.2188552188552189,75.7506185619748
ALB,2014,1.0706521739130435,75.0212023084129
ALB,2015,1.2508488964346351,71.2794476606014
ALB,2016,1.2840834248079036,74.0144504546815
ALB,2017,1.1420284431137724,76.7873817898989
ALB,2018,1.2057747834456207,75.6940783717425
ALB,2019,1.2185792349726776,75.382128932689
ALB,2020,1.227749229188078,59.5206994391875
ALB,2021,1.2065407825579133,75.5904040905009
ARE,2001,0.8804074742875088,89.8645875613427
ARE,2002,1.0396887798810042,93.0717523974279
ARE,2003,1.1678430713498777,102.300072318295
ARE,2004,1.1873316202686963,116.622707480689
ARE,2005,1.2846460142444458,119.55287164912
ARE,2006,1.390717306454373,119.47067436604
ARE,2007,1.4109005764226004,136.798144727699
ARE,2008,1.4276204605560214,148.513544024487
ARE,2009,1.2602609292202878,153.461944358762
ARE,2010,1.1651618526968275,135.485740301669
ARE,2011,1.1685539850290654,144.176829734392
ARE,2012,1.1576294617998886,156.637656972961
ARE,2013,1.2073505518516445,157.398122639247
ARE,2014,1.206227567240013,159.515630313713
ARE,2015,1.161754315803506,164.286142899252
ARE,2016,1.1364952742016166,165.394966240337
ARE,2017,1.2144961907039946,165.476523652994
ARE,2018,1.2114205923421768,154.747042166299
ARE,2019,1.1600427329484755,163.822149025614
ARE,2020,1.0302555907574815,181.291940227998
ARE,2021,1.129196457607707,182.909401076776
ARG,1990,1.029905159197062,14.9908589999441
ARG,1991,1.0532673048663432,13.7530541588891
ARG,1992,1.0813815692019026,14.730980586353
ARG,1993,1.0726904533938875,16.223151447784
ARG,1994,1.0723585948509369,18.1343458669981
ARG,1995,1.048215923135191,19.7714230903755
ARG,1996,1.0421389772225857,21.5064684057215
ARG,1997,1.066997518610422,23.3361788437439
ARG,1998,1.0676391527185407,23.3500279730689
ARG,1999,1.0078870201220127,21.3827449624898
ARG,2000,0.9954937044400266,22.6224447777343
ARG,2001,0.9689786969274985,21.8522554515453
ARG,2002,0.6591131033378692,41.7527243585642
ARG,2003,0.875607233988737,40.6447480311085
ARG,2004,0.8899036474067479,40.692646108947
ARG,2005,0.911864364859517,40.5512709706238
ARG,2006,0.8931697468194698,40.4334798719151
ARG,2007,0.9277640938284109,40.945170618571
ARG,2008,0.9515554702658906,40.4026733790382
ARG,2009,0.9128704212402876,34.0571269054879
ARG,2010,0.9554107274300052,34.9710132635696
ARG,2011,1.0470287122664363,35.2061549999644
ARG,2012,1.0379521685835746,30.5265423717108
ARG,2013,1.0750507848568789,29.3339290021037
ARG,2014,1.0167233304515246,28.4067936452275
ARG,2015,1.0748817834408186,22.4862260889792
ARG,2016,1.0020418903273338,26.0938878488799
ARG,2017,1.0330574978082836,25.2896011376779
ARG,2018,1.0066417145706723,30.7625359549926
ARG,2019,0.9571906799388122,32.6306150458499
ARG,2020,0.9724201612266347,30.203698807416
ARG,2021,0.9583484492394728,33.078689567466
ARM,1990,0.699211373986449,81.3357185450209
ARM,1991,0.6566436407964242,100.865855188857
ARM,1992,0.6650943396226415,101.076759405526
ARM,1993,0.7537848605577689,107.973146280234
ARM,1994,0.7016759776536312,112.429364602262
ARM,1995,0.8245614035087719,86.1148570667578
ARM,1996,1.1956,79.2295601199241
ARM,1997,1.2099600368890255,78.5477450545048
ARM,1998,1.3272886809008482,71.8424518815414
ARM,1999,1.1677631578947367,70.5604791440404
ARM,2000,1.0882268690919508,72.2333302273367
ARM,2001,1.132465326917634,69.8642663925336
ARM,2002,1.3262918427039325,73.9845018432309
ARM,2003,1.2175925925925926,80.0513676022426
ARM,2004,1.1490111081007857,73.0706339919371
ARM,2005,1.2202925045703839,70.1397385835334
ARM,2006,1.2730577010449795,61.0301379818566
ARM,2007,1.9747058823529413,56.9750470853147
ARM,2008,1.3047533632286996,54.5423279613666
ARM,2009,1.4741063244729606,57.2742357441995
ARM,2010,1.3616071428571428,64.642975973633
