iso,year,log_gdppc,sec_enroll
ABW,1999,10.180543767247153,93.4739685058594
ABW,2000,10.243699054962644,91.5802001953125
ABW,2001,10.27531792495204,97.5565338134766
ABW,2002,10.258902941749522,100.163063049316
ABW,2003,10.258564490065902,101.929069519043
ABW,2004,10.307610921546775,100.940940856934
ABW,2005,10.277864619739226,99.2053527832031
ABW,2006,10.27110927669914,99.8657531738281
ABW,2007,10.294070416319773,106.236473083496
ABW,2008,10.304632167664872,97.0627517700195
ABW,2009,10.173669629508701,97.9976272583008
ABW,2010,10.143654110695536,98.2207412719727
ABW,2011,10.169424435607478,96.633918762207
ABW,2012,10.14426407186926,108.976188659668
ABW,2018,10.289403094518178,137.829788208008
ABW,2019,10.298914562663938,139.320587158203
ABW,2020,10.030922940419066,135.124725341797
ABW,2021,10.177439790203405,123.625907897949
ABW,2022,10.281889410894292,131.802169799805
ABW,2024,10.432318724433648,124.379366731084
AFE,1970,7.2310039016357885,16.8848991394043
AFE,1971,7.25550994979428,16.1438903808594
AFE,1972,7.2543464064577,16.9476795196533
AFE,1973,7.270315284465299,17.1273708343506
AFE,1974,7.293845848439974,17.2605495452881
AFE,1975,7.278280495894859,17.8118801116943
AFE,1976,7.272322729003298,17.8740692138672
AFE,1977,7.255066362192999,18.3465805053711
AFE,1978,7.239867109757947,18.949649810791
AFE,1979,7.237431046285555,19.5662002563477
AFE,1980,7.260532050462248,20.37034034729
AFE,1981,7.268133806698219,21.0441398620606
AFE,1982,7.239060390459484,21.8070297241211
AFE,1983,7.20836677891447,22.352689743042
AFE,1984,7.211519383392338,22.9280109405518
AFE,1985,7.180546412813541,23.5769100189209
AFE,1986,7.173125894824218,23.6898307800293
AFE,1987,7.18178849986747,24.0443096160889
AFE,1988,7.194711310349158,24.2764701843262
AFE,1989,7.192765765452541,24.0915794372559
AFE,1990,7.165312023025982,24.2189292907715
AFE,1991,7.136743685778751,24.6175899505615
AFE,1992,7.085887187613857,24.4192504882812
AFE,1993,7.049766898282214,24.6954898834229
AFE,1994,7.042210962289488,25.0056095123291
AFE,1995,7.058866566603038,25.7894802093506
AFE,1996,7.085944799692773,26.1036396026611
AFE,1997,7.098147187206533,26.4752101898193
AFE,1998,7.089830623970044,27.3343696594238
AFE,1999,7.08960196572944,27.5691108703613
AFE,2000,7.094962103709805,27.7371292114258
AFE,2001,7.103509447175725,28.7891101837158
AFE,2002,7.11585228153977,29.4754505157471
AFE,2003,7.119310384694277,30.0984306335449
AFE,2004,7.147713232231565,31.5510196685791
AFE,2005,7.181034971430031,32.5553398132324
AFE,2006,7.218601987016151,34.0642395019531
AFE,2007,7.256560658669608,35.4449501037598
AFE,2008,7.272760441678649,36.8555488586426
AFE,2009,7.25453527144903,37.9614715576172
AFE,2010,7.279167600890849,38.864860534668
AFE,2011,7.28953277913196,39.4915084838867
AFE,2012,7.281224388321311,40.5120582580566
AFE,2013,7.299040293924229,41.1352310180664
AFE,2014,7.310415422606254,42.2156600952148
AFE,2015,7.312364000988607,42.2618598937988
AFE,2016,7.3086227446158825,42.6814994812012
AFE,2017,7.308638165214992,43.2540893554688
AFE,2018,7.307997908353046,43.5594100952148
AFE,2019,7.299952086136764,44.1287307739258
AFE,2020,7.243211235085429,44.682559967041
AFE,2021,7.260280448688831,45.1505317687988
AFE,2022,7.270376484439112,45.2816200256348
AFE,2023,7.264412589671137,45.1553916931152
AFE,2024,7.2671823368564805,45.6060791015625
AFG,2001,5.624443593897058,14.0404100418091
AFG,2003,5.8466457683621,13.959529876709
AFG,2004,5.824929546003668,19.2143802642822
AFG,2005,5.896164756200818,20.2735099792481
AFG,2006,5.907425960704261,29.523889541626
AFG,2007,6.018003573244542,28.8154907226562
AFG,2008,6.034637254889591,38.930850982666
AFG,2009,6.192016115571962,44.2999496459961
AFG,2010,6.296871778787796,50.4406204223633
AFG,2011,6.264211232548303,52.4474296569824
AFG,2012,6.343755683741355,54.372859954834
AFG,2013,6.364068653933694,54.8833694458008
AFG,2014,6.354624348994881,54.2936515808105
AFG,2015,6.337833595485375,53.1501083374023
AFG,2016,6.334827872548525,53.4350395202637
AFG,2017,6.3328702621956765,55.5364303588867
AFG,2018,6.315584290000878,57.3578491210938
AFG,2023,5.935069585324131,59.6136016845703
AFW,1970,7.2292053807114085,7.98661994934082
AFW,1971,7.304046936759218,8.21300029754639
AFW,1972,7.310721548854384,8.65359973907471
AFW,1973,7.323976897863727,9.16162967681885
AFW,1974,7.3925328783973026,9.45987033843994
AFW,1975,7.345436013759706,9.91619968414307
AFW,1976,7.399476923896181,10.4410495758057
AFW,1977,7.4169047939750365,11.0622701644897
AFW,1978,7.369629221059377,12.1180200576782
AFW,1979,7.390403069586169,13.332329750061
AFW,1980,7.3805955603499855,15.0003299713135
AFW,1981,7.283418599181141,16.9752101898193
AFW,1982,7.221236055716891,18.9348602294922
AFW,1983,7.129139260283163,20.9244003295898
AFW,1984,7.107797954384631,22.6107006072998
AFW,1985,7.132362558543755,22.8133296966553
AFW,1986,7.117538070247668,21.5825500488281
AFW,1987,7.104173896465084,21.5655994415283
AFW,1988,7.123210471017319,21.2176399230957
AFW,1989,7.112590916203276,20.1980400085449
AFW,1990,7.140475268179521,20.4625606536865
AFW,1991,7.12516716920478,20.5557498931885
AFW,1992,7.120240945371054,20.6794700622559
AFW,1993,7.079935385815841,20.7306098937988
AFW,1994,7.051057830081502,20.7932205200195
AFW,1995,7.042063275458848,20.8791694641113
AFW,1996,7.059950577566367,20.9238700866699
AFW,1997,7.0756670500631165,20.9066505432129
AFW,1998,7.083625461750189,21.0443801879883
AFW,1999,7.071437713699227,21.3046798706055
AFW,2000,7.081380712871449,22.3391399383545
AFW,2001,7.104543667317399,23.9813995361328
AFW,2002,7.171236495161529,25.3692607879639
AFW,2003,7.1978357930723496,27.1360893249512
AFW,2004,7.247190636268217,28.7706794738769
AFW,2005,7.275165097827111,29.5611190795898
AFW,2006,7.298419747088073,29.8653297424316
AFW,2007,7.323200508006038,30.1015605926514
AFW,2008,7.355136403643788,32.6177215576172
AFW,2009,7.38674356944731,35.1795806884766
AFW,2010,7.426466898900738,38.3284301757812
AFW,2011,7.446278794131101,40.1716804504395
AFW,2012,7.46854110980681,41.6457786560059
AFW,2013,7.500007195556286,46.4255905151367
AFW,2014,7.528144023006615,42.5117301940918
AFW,2015,7.530158866983318,43.7089309692383
AFW,2016,7.505305764609678,42.3061790466309
AFW,2017,7.501940714939774,42.4331703186035
AFW,2018,7.505300102272209,42.7145614624023
AFW,2019,7.513252894329062,43.9062690734863
AFW,2020,7.451502383990212,44.7343406677246
AFW,2021,7.453081580620127,45.5674285888672
AFW,2022,7.4736708679538735,45.6372985839844
AFW,2023,7.485674571113908,46.4422416687012
AFW,2024,7.506630485961907,46.3004913330078
AGO,1980,8.066753603114273,10.8339395523071
AGO,1981,7.985331619910696,13.9767599105835
AGO,1982,7.948551269889938,9.97611999511719
AGO,1983,7.952532589533055,9.17257976531982
AGO,1984,7.9737411579414355,11.5424299240112
AGO,1985,7.971356102314829,9.99211025238037
AGO,1986,7.963759320487775,11.4603796005249
AGO,1987,7.969037896932584,11.1706104278565
AGO,1988,7.994488066593707,9.44001007080078
AGO,1989,7.960758478332761,10.4483404159546
AGO,1990,7.891724245565713,9.64206981658936
AGO,1991,7.867998475135612,10.1731996536255
AGO,1992,7.7751005863334,11.4410495758057
AGO,1998,7.698023238773372,11.8974800109863
AGO,1999,7.6866508295679195,11.7708902359009
AGO,2000,7.683616948912489,13.3690700531006
AGO,2001,7.691279364175825,15.0013399124146
AGO,2002,7.785296001922814,16.1495990753174
AGO,2008,8.177289737932542,22.7990207672119
AGO,2009,8.159033501405847,24.3320198059082
AGO,2010,8.172105595730596,28.2108038778932
AGO,2011,8.168534104123705,29.6869517832747
AGO,2016,8.16211592674171,54.4167987304753
AGO,2021,7.933139802670658,53.1351542727131
AGO,2023,7.918975016038248,51.4839046246776
ALB,1980,7.5085071207122365,87.4630508422852
ALB,1981,7.5443437349027995,88.3687286376953
ALB,1982,7.5522706345644055,84.1934280395508
ALB,1983,7.542050565395047,78.9021987915039
ALB,1984,7.508416248329848,78.7036895751953
ALB,1985,7.5055060643660925,81.3915786743164
ALB,1986,7.541014660979032,84.6373901367188
ALB,1987,7.5131346360931595,84.9363708496094
ALB,1988,7.479965343824573,86.8583068847656
ALB,1989,7.546909880232338,87.7146911621094
ALB,1990,7.428262536556052,90.8411865234375
ALB,1991,7.105756820744654,93.7076873779297
ALB,1992,7.037236503226149,80.463737487793
ALB,1993,7.134634949621695,72.5160827636719
ALB,1994,7.220535191399161,70.497673034668
ALB,1995,7.351778307346563,70.0542678833008
ALB,1996,7.4287904012862755,68.9900970458984
ALB,1997,7.310483547549403,69.0590515136719
ALB,1998,7.396604424035054,70.3278579711914
ALB,1999,7.518502774665193,70.4011001586914
ALB,2000,7.596851444585374,70.3186492919922
ALB,2001,7.691162885553096,72.4845733642578
ALB,2002,7.739406452395294,74.5389175415039
ALB,2003,7.795107027260158,77.751823425293
ALB,2004,7.850609121509021,78.9801864624023
ALB,2005,7.905762334472726,82.9714279174805
ALB,2006,7.970519407319937,84.3257675170898
ALB,2007,8.041052263627465,86.2188568115234
ALB,2008,8.115515387692694,87.8338394165039
ALB,2009,8.148806201724556,89.3157196044922
ALB,2010,8.183068952995455,93.6818237304688
ALB,2011,8.210095742267674,95.4705276489258
ALB,2012,8.2353202979289,97.6086120605469
ALB,2013,8.267679934508259,102.903209514161
ALB,2014,8.305266334335276,103.321377531566
ALB,2015,8.342730067120554,102.440729325166
ALB,2016,8.396506123719536,99.170755047578
ALB,2017,8.444241950183459,97.5743697537481
ALB,2018,8.495729230969024,98.822387862215
ALB,2019,8.53157654989607,99.01515356567
ALB,2020,8.513309056972297,95.9294474518951
ALB,2021,8.614638804836305,97.665033031442
